Date,Open,High,Low,Close
2025-07-15,1.16643,1.16928,1.15931,1.16006
2025-07-16,1.16006,1.1721,1.15627,1.16357
2025-07-17,1.16353,1.16426,1.15608,1.15984
2025-07-18,1.15986,1.16717,1.15986,1.16224
2025-07-21,1.16349,1.17168,1.16149,1.16937
2025-07-22,1.1693,1.17606,1.16791,1.17493
2025-07-23,1.17509,1.17752,1.17112,1.17701
2025-07-24,1.17706,1.17887,1.17311,1.17472
2025-07-25,1.17476,1.1761,1.17044,1.17439
2025-07-28,1.17614,1.17703,1.15855,1.15905
2025-07-29,1.15899,1.15993,1.15194,1.15486
2025-07-30,1.15481,1.15723,1.14012,1.14085
2025-07-31,1.14085,1.14608,1.14063,1.14176
2025-08-01,1.14171,1.15883,1.13917,1.15693
2025-08-04,1.15917,1.15959,1.15503,1.15697
2025-08-05,1.15697,1.15879,1.15281,1.15745
2025-08-06,1.15748,1.16686,1.15649,1.16583
2025-08-07,1.16583,1.16984,1.16113,1.16654
2025-08-08,1.16659,1.16791,1.16295,1.16427
2025-08-11,1.16465,1.16756,1.15904,1.16159
2025-08-12,1.16172,1.16971,1.15989,1.16744
2025-08-13,1.16748,1.17303,1.16708,1.17057
2025-08-14,1.17057,1.17152,1.16311,1.16513
2025-08-15,1.16511,1.17152,1.16464,1.17011
2025-08-18,1.17142,1.17144,1.16562,1.16622
2025-08-19,1.16618,1.1693,1.16402,1.16475
2025-08-20,1.16474,1.16735,1.16223,1.16525
2025-08-21,1.16528,1.16625,1.16015,1.1608
2025-08-22,1.1607,1.17428,1.15832,1.17202
2025-08-25,1.17228,1.17236,1.16032,1.16201
2025-08-26,1.16196,1.16653,1.16028,1.16453
2025-08-27,1.1644,1.1648,1.15747,1.16374
2025-08-28,1.16381,1.16975,1.16296,1.16793
2025-08-29,1.16794,1.17086,1.16518,1.16985
2025-09-01,1.16896,1.17361,1.16869,1.17094
2025-09-02,1.17088,1.17183,1.16131,1.16416
2025-09-03,1.16414,1.1682,1.16086,1.16612
2025-09-04,1.16613,1.16692,1.16304,1.16494
2025-09-05,1.16499,1.17596,1.16487,1.17181
2025-09-08,1.17192,1.17655,1.17039,1.17615
2025-09-09,1.17626,1.17802,1.1704,1.17114
2025-09-10,1.17112,1.17302,1.16842,1.17001
2025-09-11,1.17008,1.17457,1.1665,1.17349
2025-09-12,1.17356,1.17479,1.17017,1.17363
2025-09-15,1.17307,1.17746,1.17164,1.17659
2025-09-16,1.17656,1.18782,1.17576,1.18642
2025-09-17,1.18653,1.19185,1.18082,1.18155
2025-09-18,1.18165,1.18484,1.17505,1.17866
2025-09-19,1.17874,1.17923,1.17289,1.17478
2025-09-22,1.17466,1.18037,1.17265,1.17997
2025-09-23,1.1802,1.18201,1.17805,1.18145
2025-09-24,1.18168,1.18191,1.17286,1.17395
2025-09-25,1.17395,1.1754,1.16462,1.16613
2025-09-26,1.16627,1.1706,1.16582,1.17058
2025-09-29,1.17046,1.17541,1.17025,1.17269
2025-09-30,1.17265,1.17616,1.17125,1.17368
2025-10-01,1.17359,1.17789,1.17158,1.17328
2025-10-02,1.17334,1.17583,1.16835,1.17181
2025-10-03,1.17181,1.17588,1.17156,1.17413
2025-10-06,1.17275,1.1731,1.16522,1.17097
2025-10-07,1.17127,1.1715,1.16479,1.16576
2025-10-08,1.16576,1.16612,1.15988,1.16291
2025-10-09,1.163,1.16484,1.1543,1.15653
2025-10-10,1.15646,1.163,1.15573,1.16128
2025-10-13,1.16143,1.16299,1.15578,1.1572
2025-10-14,1.15714,1.16149,1.15433,1.16082
2025-10-15,1.16081,1.16479,1.16021,1.1644
2025-10-16,1.16459,1.16941,1.16432,1.16885
2025-10-17,1.1689,1.17281,1.16571,1.16708
2025-10-20,1.16581,1.16757,1.16391,1.16449
2025-10-21,1.16446,1.16553,1.15981,1.1605
2025-10-22,1.16049,1.16225,1.15775,1.16128
2025-10-23,1.16124,1.16202,1.15858,1.16178
2025-10-24,1.16186,1.16476,1.16013,1.16318
2025-10-27,1.16286,1.16522,1.16179,1.165
2025-10-28,1.16503,1.16687,1.16258,1.16508
2025-10-29,1.16506,1.16654,1.15781,1.16038
2025-10-30,1.16039,1.16373,1.15472,1.15682
2025-10-31,1.15683,1.15777,1.15217,1.15371
2025-11-03,1.15335,1.15415,1.15054,1.15211
2025-11-04,1.15211,1.15338,1.14733,1.14843
2025-11-05,1.14842,1.14983,1.14692,1.14927
2025-11-06,1.14926,1.15525,1.14914,1.15453
2025-11-07,1.15466,1.15912,1.15299,1.15643
2025-11-10,1.15587,1.15832,1.15414,1.15572
2025-11-11,1.15579,1.1606,1.15477,1.15855
2025-11-12,1.15848,1.1598,1.15633,1.15904
2025-11-13,1.15912,1.16556,1.15793,1.16365
2025-11-14,1.16368,1.16533,1.16066,1.16209
2025-11-17,1.16226,1.16247,1.15825,1.15899
2025-11-18,1.15913,1.16077,1.15718,1.15776
2025-11-19,1.15792,1.15975,1.15185,1.15389
2025-11-20,1.15391,1.15499,1.15065,1.15291
2025-11-21,1.1528,1.15524,1.14914,1.15176
2025-11-24,1.15136,1.15505,1.15022,1.15258
2025-11-25,1.15249,1.15859,1.15118,1.15701
2025-11-26,1.15706,1.16009,1.15479,1.15955
2025-11-27,1.15952,1.16135,1.15768,1.15964
2025-11-28,1.15962,1.16075,1.15556,1.16007
2025-12-01,1.15998,1.16517,1.159,1.16088
2025-12-02,1.16089,1.16263,1.15915,1.16246
2025-12-03,1.16248,1.16777,1.16248,1.16709
2025-12-04,1.16711,1.16821,1.16404,1.16449
2025-12-05,1.16449,1.16718,1.16284,1.16447
2025-12-08,1.16464,1.1672,1.16166,1.16356
2025-12-09,1.16361,1.16573,1.16155,1.1627
2025-12-10,1.16267,1.16999,1.16222,1.16955
2025-12-11,1.16956,1.17627,1.16826,1.17389
2025-12-12,1.17385,1.17499,1.17197,1.17393
2025-12-15,1.17383,1.1769,1.17266,1.17514
2025-12-16,1.17514,1.18042,1.17367,1.1748
2025-12-17,1.17491,1.17582,1.17037,1.174
2025-12-18,1.17406,1.17626,1.17131,1.17245
2025-12-19,1.1726,1.17378,1.17035,1.17097
2025-12-22,1.17149,1.17693,1.17067,1.17592
2025-12-23,1.17592,1.18021,1.17592,1.1795
2025-12-24,1.17947,1.18081,1.17729,1.17756
2025-12-25,1.17813,1.17848,1.17799,1.17822
2025-12-26,1.17822,1.17968,1.17619,1.17748
2025-12-29,1.17709,1.17892,1.17499,1.17682
2025-12-30,1.17711,1.17798,1.17435,1.17461
2025-12-31,1.17451,1.17592,1.17202,1.17459
2026-01-02,1.17487,1.17656,1.17136,1.17176
2026-01-05,1.17121,1.17288,1.16593,1.17194
2026-01-06,1.17211,1.1743,1.16841,1.16888
2026-01-07,1.16884,1.17027,1.16733,1.1678
2026-01-08,1.16778,1.16831,1.16429,1.16588
2026-01-09,1.16589,1.16623,1.16185,1.16348
2026-01-12,1.16325,1.16986,1.16222,1.1669
2026-01-13,1.16684,1.16779,1.16345,1.16448
2026-01-14,1.16449,1.16618,1.16357,1.16449
2026-01-15,1.16453,1.1647,1.15932,1.16076
2026-01-16,1.16075,1.16273,1.15852,1.15994
2026-01-19,1.15819,1.16488,1.15819,1.1646
2026-01-20,1.16461,1.17664,1.16328,1.1722
2026-01-21,1.17225,1.17428,1.16764,1.16855
2026-01-22,1.16852,1.17573,1.16707,1.17561
2026-01-23,1.17569,1.18258,1.17285,1.18213
2026-01-26,1.18895,1.19061,1.18351,1.18777
2026-01-27,1.18799,1.20767,1.18509,1.20426
2026-01-28,1.20448,1.20457,1.1896,1.19562
2026-01-29,1.19563,1.19957,1.19066,1.19695
2026-01-30,1.19686,1.19745,1.18534,1.18534
2026-02-02,1.18504,1.18748,1.17761,1.17902
2026-02-03,1.17904,1.18288,1.17803,1.18181
2026-02-04,1.18184,1.18378,1.1791,1.1807
2026-02-05,1.18062,1.18213,1.17752,1.17817
2026-02-06,1.17817,1.18262,1.17659,1.18222
2026-02-09,1.1816,1.19265,1.18101,1.19128
2026-02-10,1.1913,1.19287,1.18871,1.18913
2026-02-11,1.18914,1.19272,1.18343,1.18748
2026-02-12,1.18743,1.18899,1.18526,1.18727
2026-02-13,1.18725,1.18834,1.18476,1.18744
2026-02-16,1.18704,1.18744,1.18464,1.18506
2026-02-17,1.18516,1.18552,1.18052,1.18528
2026-02-18,1.18531,1.18576,1.17822,1.17858
2026-02-19,1.1786,1.18076,1.17422,1.17718
2026-02-20,1.17716,1.18074,1.17441,1.1786
